ID,原始文件名,推荐名称,分类,服装,色调,姿势,性别类型,推荐COS路径,置信度,备注
m2_modern_female_10,"3 (9).jpg","现代装-坐姿",modern,现代装,红色,坐姿,female,"festival-templates/modern/female/现代装-坐姿-10.jpg",0.95,"图片中人物穿着红色现代风格服装，坐姿，背景有春节装饰元素。"
m2_modern_female_11,"4 (1).jpg","现代装-坐姿",modern,现代装,红色,坐姿,female,"festival-templates/modern/female/现代装-坐姿-11.jpg",0.95,"图片中人物身穿红色毛衣，呈坐姿，背景有苹果和毛毯装饰，整体氛围温馨。"
m2_modern_female_12,"4 (3).jpg","现代装-红色-持物",modern,现代装,红色,其他,female,"festival-templates/modern/female/现代装-红色-持物-12.jpg",0.95,"图片中人物穿着红色现代服装，双手持红色苹果，姿势较为随意。"
m2_modern_female_13,"4 (4).jpg","现代装-坐姿",modern,现代装,红色,坐姿,female,"festival-templates/modern/female/现代装-坐姿-13.jpg",0.95,"图片中人物穿着红色毛衣，坐姿，周围有苹果装饰，背景简洁。"
m2_modern_female_14,"4 (6).jpg","现代装-坐姿",modern,现代装,红色,坐姿,female,"festival-templates/modern/female/现代装-坐姿-14.jpg",0.95,"图片中人物穿着红色现代毛衣，呈坐姿，手持苹果摆拍。"
m2_qipao_female_15,"5 (1).jpg","旗袍-坐姿",qipao,旗袍,红色,坐姿,female,"festival-templates/qipao/female/旗袍-坐姿-15.jpg",0.95,"图片中人物身穿红色亮片旗袍，坐姿，手持红包，背景有春节装饰元素。"
m2_qipao_female_16,"5 (1).png","旗袍-站立",qipao,旗袍,红色,站立,female,"festival-templates/qipao/female/旗袍-站立-16.png",0.95,"图片中人物身穿红色亮片旗袍，手持红包，呈站立姿势"
m2_qipao_female_17,"5 (10).jpg","旗袍-坐姿",qipao,旗袍,红色,坐姿,female,"festival-templates/qipao/female/旗袍-坐姿-17.jpg",0.95,"图片中人物身穿红色亮面旗袍，坐姿优雅，背景有春节元素装饰。"
m2_qipao_female_18,"5 (2).jpg","旗袍-节庆装饰",qipao,旗袍,红色,其他,female,"festival-templates/qipao/female/旗袍-节庆装饰-18.jpg",0.95,"图片中人物身穿红色亮片旗袍，手持节庆装饰，展现春节氛围。"
m2_qipao_female_19,"5 (2).png","旗袍-站立",qipao,旗袍,红色,站立,female,"festival-templates/qipao/female/旗袍-站立-19.png",0.95,"图片中人物身穿红色旗袍，双手抱着两个带有新年祝福字样的红色装饰牌，符合春节主题。"
m2_qipao_female_20,"5 (3).jpg","旗袍-站立",qipao,旗袍,红色,站立,female,"festival-templates/qipao/female/旗袍-站立-20.jpg",0.95,"图片中人物身穿红色亮片旗袍，站立姿势，头发装饰有红色元素，整体呈现春节喜庆风格。"
m2_qipao_female_21,"5 (4).jpg","旗袍-坐姿",qipao,旗袍,红色,坐姿,female,"festival-templates/qipao/female/旗袍-坐姿-21.jpg",0.95,"图片中人物穿着红色亮片旗袍，坐在红色椅子上，手持红色折扇，背景有春节装饰元素。"
m2_qipao_female_22,"5 (5).jpg","旗袍-站立",qipao,旗袍,红色,站立,female,"festival-templates/qipao/female/旗袍-站立-22.jpg",0.95,"图片中人物身穿红色亮片旗袍，站立姿势，背景有春节装饰元素。"
m2_qipao_female_23,"5 (6).jpg","旗袍-坐姿",qipao,旗袍,红色,坐姿,female,"festival-templates/qipao/female/旗袍-坐姿-23.jpg",0.95,"图片中人物身穿红色亮片旗袍，坐姿，手持红包，背景有春节装饰元素。"
m2_qipao_female_24,"5 (7).jpg","旗袍-坐姿",qipao,旗袍,红色,坐姿,female,"festival-templates/qipao/female/旗袍-坐姿-24.jpg",0.95,"图片中人物身穿红色亮片旗袍，坐姿，手持写有‘好运’的红包，背景有春节装饰元素。"
m2_modern_female_25,"5 (8).jpg","现代装-坐姿",modern,现代装,红色,坐姿,female,"festival-templates/modern/female/现代装-坐姿-25.jpg",0.95,"图片中人物身穿红色现代装，坐姿，手持红包，背景有春节装饰元素。"
m2_qipao_female_26,"5 (9).jpg","旗袍-坐姿",qipao,旗袍,红色,坐姿,female,"festival-templates/qipao/female/旗袍-坐姿-26.jpg",0.95,"图片中人物身穿红色亮片旗袍，搭配毛绒装饰，呈坐姿姿态，整体风格喜庆且符合春节主题。"
m2_qipao_female_27,"690872624-71ee668d691c87aafbefd14813a00f651caeab6a1961f0f66fb1d5bb0d9eb339.png","旗袍-站立",qipao,旗袍,金色,站立,female,"festival-templates/qipao/female/旗袍-站立-27.png",0.95,"图片中人物身穿金色旗袍，直立站姿，手持红色春联，背景有春节装饰元素。"
m2_hanfu_female_28,"99480dd3ed5fb7ab5c4f4cdcaf54ef2d618459260e57e83d6b45cc3540bda0fd.png","汉服-站立",hanfu,汉服,红色,站立,female,"festival-templates/hanfu/female/汉服-站立-28.png",0.95,"图片中人物身穿红色传统汉服，手持新年装饰卷轴和红包，背景为春节主题装饰。"
m2_modern_female_29,"ab5d31452bf410d5454266b4e93850085b874830c0129a671b045cf3830a3199.png","现代装-站立",modern,现代装,红色,站立,female,"festival-templates/modern/female/现代装-站立-29.png",0.95,"图片中人物穿着红色毛衣，背景有春节元素如灯笼和春联，呈站立姿势"
m2_modern_female_30,"AirPods Max 无蓝牙连接电脑 (1).png","现代装-红色灯笼",modern,现代装,红色,站立,female,"festival-templates/modern/female/现代装-红色灯笼-30.png",0.95,"图片中人物穿着红色现代服装，手持红色灯笼，背景有春节装饰元素"
m2_modern_female_31,"AirPods Max 无蓝牙连接电脑.png","现代装-红色-举玩偶",modern,现代装,红色,其他,female,"festival-templates/modern/female/现代装-红色-举玩偶-31.png",0.95,"图片中人物穿着红色毛衣搭配白色围巾，双手举着红色福牛玩偶，背景有福字装饰。"
m2_tangzhuang_female_32,"ca55e4895f27a14214673ec3a60c37a6b335c001596e5ad15a70153fd24fe4e2.png","唐装-站立",tangzhuang,唐装,红色,站立,female,"festival-templates/tangzhuang/female/唐装-站立-32.png",0.95,"图片中人物身穿红色唐装，手持新年祝福卷轴，背景有春节装饰元素。"
m2_hanfu_female_33,"e05d4b5b19f2f5e3400e043813c03872d1249d9b99b47593cfa84df69974a060.png","汉服-站立",hanfu,汉服,红色,站立,female,"festival-templates/hanfu/female/汉服-站立-33.png",0.95,"图片中人物身穿红色传统汉服，手持“恭喜发财”红色横幅，背景有春节元素如灯笼和金元宝。"
m2_tangzhuang_female_34,"ea886347c2f8abf0e0735a6cd5dbf68e2e542faf19c2e50bb661b8c8c6366f77.png","唐装-站立",tangzhuang,唐装,红色,站立,female,"festival-templates/tangzhuang/female/唐装-站立-34.png",0.95,"图片中人物身穿红色唐装，手持春联，背景有红色灯笼"
m2_hanfu_female_35,"f4ebde653597b2cdc1d1821e615445f3e421f4b4984175b82f7858dd0643406c.png","汉服-站立",hanfu,汉服,红色,站立,female,"festival-templates/hanfu/female/汉服-站立-35.png",0.95,"图片中人物身穿红色传统汉服，头戴华丽头饰，手持写有‘恭喜发财’的红色卷轴，背景有金元宝和灯笼装饰，充满春节氛围。"
m2_hanfu_female_36,"Gemini_Generated_Image_i5pjhfi5pjhfi5pj.png","汉服-站立",hanfu,汉服,红色,站立,female,"festival-templates/hanfu/female/汉服-站立-36.png",0.95,"图片中人物身穿红色华丽汉服，手持写有‘恭喜发财’的红色横幅，背景有春节装饰元素。"
m2_modern_female_37,"s` (349)(1).jpg","现代装-站立",modern,现代装,红色,站立,female,"festival-templates/modern/female/现代装-站立-37.jpg",0.95,"图片中人物穿着红色毛衣和帽子，手持彩色龙形装饰，背景为春节主题设计。"
m2_modern_female_38,"微信图片_20260130223342_197_2540.jpg","现代装-红色背景-伸手动作",modern,现代装,红色,其他,female,"festival-templates/modern/female/现代装-红色背景-伸手动作-38.jpg",0.95,"图片中人物穿着红色现代毛衣，背景为春节主题红色装饰，伸手动作突出互动感。"
m2_modern_female_39,"微信图片_20260130224146_208_2540.jpg","现代装-站立",modern,现代装,红色,站立,female,"festival-templates/modern/female/现代装-站立-39.jpg",0.95,"图片中人物穿着红色现代毛衣，手持烟花和玫瑰花束，背景有2026字样和烟花元素。"
m2_modern_female_40,"微信图片_20260130225002_242_2540.jpg","现代装-站立",modern,现代装,红色,站立,female,"festival-templates/modern/female/现代装-站立-40.jpg",0.95,"图片中人物身穿红色现代毛衣，手持糖葫芦，背景为春节装饰元素。"
m2_modern_female_41,"新年写真 (10).jpg","现代装-红色-站立",modern,现代装,红色,站立,female,"festival-templates/modern/female/现代装-红色-站立-41.jpg",0.95,"图片中人物穿着红色现代服装，手持红色装饰物，背景为春节主题的红色场景"
m2_modern_female_42,"新年写真 (11).jpg","现代装-站立-新年快乐",modern,现代装,红色,站立,female,"festival-templates/modern/female/现代装-站立-新年快乐-42.jpg",0.95,"图片中人物身穿红色现代装，手持‘新年快乐’装饰，背景有春节元素如灯笼和福字。"
m2_qipao_female_43,"新年写真 (12).jpg","旗袍-坐姿",qipao,旗袍,红色,坐姿,female,"festival-templates/qipao/female/旗袍-坐姿-43.jpg",0.95,"图片中人物身穿红色旗袍，坐姿，背景有春节装饰元素。"
m2_qipao_female_44,"新年写真 (13).jpg","旗袍-坐姿",qipao,旗袍,红色,坐姿,female,"festival-templates/qipao/female/旗袍-坐姿-44.jpg",0.95,"图片中人物身穿红色亮片旗袍，坐姿，手持红色灯笼，背景有春节装饰元素。"
m2_qipao_female_45,"新年写真 (14).jpg","旗袍-站立",qipao,旗袍,红色,站立,female,"festival-templates/qipao/female/旗袍-站立-45.jpg",0.95,"图片中人物身穿红色亮片旗袍，手持红色灯笼，背景为红色春节装饰"
m2_qipao_female_46,"新年写真 (16).jpg","旗袍-站立",qipao,旗袍,红色,站立,female,"festival-templates/qipao/female/旗袍-站立-46.jpg",0.95,"图片中人物身穿红色传统旗袍，手持红包，背景为红色，符合春节主题。"
m2_qipao_female_47,"新年写真 (17).jpg","旗袍-站立",qipao,旗袍,红色,站立,female,"festival-templates/qipao/female/旗袍-站立-47.jpg",0.95,"图片中人物身穿红色传统旗袍，背景为红色，姿势为站立。"
m2_qipao_female_48,"新年写真 (18).jpg","旗袍-站立",qipao,旗袍,红色,站立,female,"festival-templates/qipao/female/旗袍-站立-48.jpg",0.95,"图片中人物身穿红色传统旗袍，手持带有金色福字的装饰物，背景为红色，整体呈现春节氛围。"
m2_qipao_female_49,"新年写真 (19).jpg","旗袍-站立",qipao,旗袍,红色,站立,female,"festival-templates/qipao/female/旗袍-站立-49.jpg",0.95,"图片中人物身穿红色亮片旗袍，背景以红色为主，展现新年氛围。"
m2_modern_female_50,"新年写真 (20).jpg","现代装-坐姿",modern,现代装,红色,坐姿,female,"festival-templates/modern/female/现代装-坐姿-50.jpg",0.95,"图片中人物身穿红色亮片现代服饰，坐姿，手持灯笼，背景有春节装饰元素。"
m2_qipao_female_51,"新年写真 (21).jpg","旗袍-坐姿",qipao,旗袍,红色,坐姿,female,"festival-templates/qipao/female/旗袍-坐姿-51.jpg",0.95,"图片中人物身穿红色旗袍，坐姿，手持红包，背景为春节装饰元素。"
m2_modern_female_52,"春节真人_女_01.png","现代装-站立-红色装饰",modern,现代装,红色,站立,female,"festival-templates/modern/female/现代装-站立-红色装饰-52.png",0.95,"图片中人物身穿现代冬季服饰，手持红色春联，背景为春节灯笼和雪景"
m2_tangzhuang_female_53,"春节真人_女_04.png","唐装-站立",tangzhuang,唐装,红色,站立,female,"festival-templates/tangzhuang/female/唐装-站立-53.png",0.95,"图片中人物身穿红色唐装，手持春联，背景有春节装饰元素如灯笼和福字。"
m2_tangzhuang_female_54,"春节真人_女_07.png","唐装-站立",tangzhuang,唐装,红色,站立,female,"festival-templates/tangzhuang/female/唐装-站立-54.png",0.95,"图片中人物身穿红色传统唐装，手持‘万事如意’春联，背景为雪景。"
m2_modern_female_55,"春节真人_女_09.png","现代装-招财手势",modern,现代装,红色,招财手势,female,"festival-templates/modern/female/现代装-招财手势-55.png",0.95,"图片中人物身穿红色现代毛衣，双手举着金色元宝，背景为春节主题装饰"
m2_qipao_female_56,"春节真人_女_16.png","旗袍-站立",qipao,旗袍,红色,站立,female,"festival-templates/qipao/female/旗袍-站立-56.png",0.95,"图片中人物身穿红色传统旗袍，直立站姿，背景有春节元素装饰"
m2_modern_female_57,"春节真人_女_18.png","现代装-站立-红色",modern,现代装,红色,站立,female,"festival-templates/modern/female/现代装-站立-红色-57.png",0.95,"图片中人物穿着红色现代毛衣，站立姿势，手持红色福字横幅，背景有金色装饰和春节元素。"
m2_hanfu_female_58,"春节真人_女_22.png","汉服-侧身",hanfu,汉服,橙色,侧身,female,"festival-templates/hanfu/female/汉服-侧身-58.png",0.95,"图片中人物身穿橙色汉服，头戴传统发饰，侧身站立，背景为中式建筑"
m2_modern_female_59,"春节真人_女_25.png","现代装-站立",modern,现代装,红色,站立,female,"festival-templates/modern/female/现代装-站立-59.png",0.95,"图片中人物穿着红色现代毛衣，站立姿态，背景为春节元素装饰。"
m2_qipao_female_60,"春节真人_女_35.png","旗袍-站立",qipao,旗袍,黑色,站立,female,"festival-templates/qipao/female/旗袍-站立-60.png",0.95,"图片中人物身穿黑色旗袍，旗袍上有金色花纹，站立姿势，背景为中式室内环境。"
m2_qipao_female_61,"春节真人_女_57.png","旗袍-持灯笼",qipao,旗袍,红色,站立,female,"festival-templates/qipao/female/旗袍-持灯笼-61.png",0.95,"图片中人物身穿红色旗袍，手持写有‘福’字的灯笼，背景有春节装饰。"
m2_hanfu_child_01,"0e651d3ac759739b9d556be65160fcb165d6b5a9a80df6e204ac08d9997744f1.png","汉服-儿童-坐姿",hanfu,汉服,红色,坐姿,child,"festival-templates/hanfu/child/汉服-儿童-坐姿-01.png",0.95,"图片中人物身穿红色传统汉服，坐姿，手持金色球状物品，背景充满春节元素。"
m2_tangzhuang_child_02,"fe5ab0bdacd924ba46e31c4e7259a83a611c84babde511ce280fa62764b79fa4.png","唐装-站立",tangzhuang,唐装,红色,站立,child,"festival-templates/tangzhuang/child/唐装-站立-02.png",0.95,"图片中人物身穿红色唐装，服饰上有金色龙凤刺绣，背景为春节主题装饰。"
m2_child_child_03,"微信图片_20260130224148_211_2540.jpg","儿童装-持福字-站立",child,儿童装,红色,站立,child,"festival-templates/child/child/儿童装-持福字-站立-03.jpg",0.95,"图片中儿童穿着红色毛衣，手持红色福字，背景为春节主题"
m2_child_child_04,"微信图片_20260130224152_215_2540.jpg","儿童装-红色-站立",child,儿童装,红色,站立,child,"festival-templates/child/child/儿童装-红色-站立-04.jpg",0.95,"图片中儿童身穿红色传统风格服饰，头戴虎头帽，手持糖葫芦，背景有红色灯笼，充满春节氛围。"
m2_child_child_05,"微信图片_20260130225722_267_2540.jpg","儿童装-红色坐姿",child,儿童装,红色,坐姿,child,"festival-templates/child/child/儿童装-红色坐姿-05.jpg",0.95,"图片中儿童身穿红色节日服饰，坐着并手持红色装饰物，背景有新年元素。"
m2_modern_child_06,"春节真人_童_04.png","现代装-休闲姿态",modern,现代装,黑色,其他,child,"festival-templates/modern/child/现代装-休闲姿态-06.png",0.9,"图片中人物穿着黑色现代服饰，佩戴黑色贝雷帽，手扶帽子，姿态轻松休闲"
m2_tangzhuang_child_07,"春节真人_童_08.png","唐装-儿童-站立",tangzhuang,唐装,红色,站立,child,"festival-templates/tangzhuang/child/唐装-儿童-站立-07.png",0.95,"图片中人物身穿红色唐装，手持福字装饰，站立姿势，体现春节氛围。"
m2_child_child_08,"春节真人_童_18.png","儿童装-站立",child,儿童装,红色,站立,child,"festival-templates/child/child/儿童装-站立-08.png",0.95,"图片中儿童穿着红色毛衣和白色裙子，手持生肖玩偶，背景有春节元素如福字和红色主色调。"
m2_qinglv_couple_01,"1 (2).jpg","情侣装-迎新互动",qinglv,情侣装,红色,情侣互动,couple,"festival-templates/qinglv/couple/情侣装-迎新互动-01.jpg",0.95,"图片中两人身穿红色情侣装，女生手持红包，呈现迎新互动场景"
m2_couple_couple_02,"1 (3).jpg","情侣装-春节互动",couple,情侣装,红色,情侣互动,couple,"festival-templates/couple/couple/情侣装-春节互动-02.jpg",0.95,"图片中两人穿着红色春节主题服饰，手持福字装饰，展现节日氛围。"
m2_qinglv_couple_03,"1 (4).jpg","情侣装-红色-互动",qinglv,情侣装,红色,情侣互动,couple,"festival-templates/qinglv/couple/情侣装-红色-互动-03.jpg",0.95,"图片中两人穿着红色情侣装，手持福字红包，展现互动姿态，背景为春节主题设计。"
m2_modern_couple_couple_04,"1 (5).jpg","现代装-情侣互动",modern_couple,现代装,红色,情侣互动,couple,"festival-templates/modern_couple/couple/现代装-情侣互动-04.jpg",0.95,"图片中两人穿着红色现代服装，手持带有春节元素的红色礼盒，呈现互动姿态。"
m2_qinglv_couple_05,"1 (6).jpg","情侣装-站立",qinglv,情侣装,红色,站立,couple,"festival-templates/qinglv/couple/情侣装-站立-05.jpg",0.95,"图片中一对情侣身穿红色毛衣和连衣裙，手持带有‘喜’‘庆’等字样的礼盒，背景为春节主题装饰。"
m2_couple_couple_06,"s` (348)(1).jpg","情侣装-红色-互动",couple,情侣装,红色,情侣互动,couple,"festival-templates/couple/couple/情侣装-红色-互动-06.jpg",0.95,"图片中两人穿着红色毛衣，搭配红袜子，手牵手互动，背景有新年祝福文字。"
m2_couple_couple_07,"s` (350)(1).jpg","情侣装-红色-互动",couple,情侣装,红色,情侣互动,couple,"festival-templates/couple/couple/情侣装-红色-互动-07.jpg",0.95,"图片中两人穿着红色毛衣，搭配红色袜子和帽子，姿势亲密，适合作为春节情侣主题图片。"
m2_couple_couple_08,"s` (351)(1).jpg","情侣装-红色-互动",couple,情侣装,红色,情侣互动,couple,"festival-templates/couple/couple/情侣装-红色-互动-08.jpg",0.95,"图片中两人穿着红色毛衣，搭配红色帽子，呈现亲密互动姿态，背景有春节祝福文字元素。"
m2_qinglv_couple_09,"s` (352)(1).jpg","情侣装-站立",qinglv,情侣装,红色,站立,couple,"festival-templates/qinglv/couple/情侣装-站立-09.jpg",0.95,"图片中两人穿着红色毛衣情侣装，站立姿势，手拉帽绳，背景有新年祝福文字。"
m2_qinglv_couple_10,"s` (353)(1).jpg","情侣装-坐姿",qinglv,情侣装,红色,坐姿,couple,"festival-templates/qinglv/couple/情侣装-坐姿-10.jpg",0.95,"图片中两人穿着红色毛衣情侣装，坐姿，手持红色春联，背景有春节元素"
m2_modern_couple_couple_11,"s` (354)(1).jpg","现代装-情侣坐姿",modern_couple,现代装,红色,坐姿,couple,"festival-templates/modern_couple/couple/现代装-情侣坐姿-11.jpg",0.95,"图片中人物穿着红色现代毛衣，坐姿，背景有春节元素如福字和红包。"
m2_modern_couple_12,"s` (355)(1).jpg","现代装-情侣坐姿",modern,现代装,红色,坐姿,couple,"festival-templates/modern/couple/现代装-情侣坐姿-12.jpg",0.95,"图片中两人穿着红色现代毛衣，坐姿，背景有春节元素如福字和万事兴隆文字。"
